 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  19   19       37  98    0.56   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       15  98    0.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       17  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       21  99    0.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       24  98    0.18   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       41  96    0.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       18  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       17  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       19  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  12   12       24  98    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       41  98    0.34   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  10   10       18  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       18  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       17  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   14       22  98    0.19   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       49  96    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   11       19  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   11       20  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       24  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   19       61  97    0.38   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   11       20  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       24  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    8       20  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  22   22       50  96    0.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  20   21       32  96    0.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       21  98    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       20  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       20  99    0.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  23   24       61  97    0.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   10       19  99    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       24  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11   12       23  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  11    9       25  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       67  96    0.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       23  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       22  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  18   18       59  95    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  99    0.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       18  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       17  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   8    9       13  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  26   25       57  95    0.45   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       17  99    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       17  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    8       15  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       16  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       45  95    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       19  98    0.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       16  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       16  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       21  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  19   20       53  96    0.42   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       19  99    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       16  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    5       17  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       16  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  15   15       46  97    0.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       15  99    0.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   7    8       19  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       18  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       16  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  21   21       50  96    0.40   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    6       18  99    0.15   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       14  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       15  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       13  98    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       37  97    0.30   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    8       28  98    0.20   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       22  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    8       22  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       23  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   14       53  97    0.29   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  12   12       27  98    0.23   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       21  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    7       15  98    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    6       23  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
  42   42      137  89    0.80   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  14   13       30  98    0.22   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   5    6       20  99    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       19  98    0.10   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       21  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       22  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       31  98    0.14   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       21  98    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   24       57  95    0.41   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       16  99    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       15  99    0.13   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       18  99    0.12   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   6    6       22  99    0.11   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  24   23       68  96    0.39   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  25   25       89  96    1.17   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 169  169      493  80    7.33   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  48   49      212  79   11.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   2    3       21  99    0.97   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   6    6       54  98    1.09   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    3       22  98    0.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       23  99    0.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    4       24  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  25   24      231  77    3.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
  13   14      119  89    2.74   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       23  98    0.31   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       24  98    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       22  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       23  98    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    7       73  96    0.95   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  99    0.32   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       26  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   7    6       53  97    1.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       27  98    0.60   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       25  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
 Freq MHz      IRQ RC6           RCS/0           BCS/0           VCS/0           VCS/1          VECS/0 
 req  act       /s   %       %  se  wa       %  se  wa       %  se  wa       %  se  wa       %  se  wa 
   4    4       24  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       27  98    0.24   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       68  95    0.82   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    5       21  98    0.36   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       25  98    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       23  99    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       25  99    0.28   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   8    8       69  96    0.88   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    4       25  98    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       26  98    0.26   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  99    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   4    3       24  99    0.25   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   9    9       68  95    0.84   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    4       23  98    0.35   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    3       24  99    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
   3    2       22  99    0.27   0   0    0.00   0   0    0.00   0   0    0.00   0   0    0.00   0   0 
